#Edition, FXY, OperatorName_en, OperationDefinition_en

3,201YYY, Change data width, Add (YYY-128) bits to the data width given for each data element in Table B
3,202YYY, Change scale, Add YYY-128 to the scale for each data element in Table B
3,203YYY, Change reference values, Subsequent element descriptors define new reference values for corresponding Table B entries. Each new reference value is represented by YYY bits in the Data section. Definition of new reference values is concluded by coding this operator with YYY = 255. Negative reference values shall be represented by a positive integer with the left-most bit (bit 1) set to 1.
3,204YYY, Add associated field, Precede each data element with YYY bits of information.  This operation associates a data field (e.g. quality control information) of YYY bits with each data element.
3,205YYY, Signify character, YYY characters (CCITT International Alphabet No. 5) are inserted as a data field of YYY x 8 bits in length.
3,206YYY, Signify data width for the immediately following local descriptor, YYY bits of data are described by the immediately following descriptor.
3,221YYY, Data not present, Data values present in Section 4 (Data section) corresponding to the following YYY descriptors shall be limited to data from Classes 1-9
3,222000, Quality information follows, The values of Class 33 elements which follow relate to the data defined by the data present bit-map.
3,223000, Substituted values operator, The substituted values which follow relate to the data defined by the data present bit-map.
3,223255, Substituted values marker operator, This operator shall signify a data item containing a substituted value; the element descriptor for the substituted value is obtained by the application of the data present bit-map associated with the substituted values operator.
3,224000, First-order statistical values follow, The statistical values which follow relate to the data defined by the data present bit-map.
3,224255, First-order statistical values marker operator, This operator shall signify a data item containing a first-order statistical value of the type indicated by the preceding 0 08 023 element descriptor; the element descriptor to which the first-order statistic relates is obtained by the application of the data present bit-map associated with the first-order statistical values follow operator; first-order statistical values shall be represented as defined by this element descriptor.
3,225000, Difference statistical values follow, The statistical values which follow relate to the data defined by the data present bit-map.
3,225255, Difference statistical values marker operator, This operator shall signify a data item containing a difference statistical value of the type indicated by the preceding 0 08 024 element descriptor; the element descriptor to which the difference statistical value relates is obtained by the application of the data present bit-map associated with the difference statistical values follow operator; difference statistical values shall be represented as defined by this element descriptor
3,232000, Replaced/retained values follow, The replaced/retained values which follow relate to the data defined by the data present bit-map.
3,232255, Replaced/retained value marker operator, This operator shall signify a data item containing the original of an element which has been replaced by a substituted value.  The element descriptor for the retained value is obtained by the application of the data present bit-map associated with the substituted values operator.
